Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/neos-2652786-brda.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/neos-2652786-brda.txt -quit (default strategy 1)
At line 1 NAME          neos-2652786-brda
At line 2 ROWS
At line 346 COLUMNS
At line 2071 RHS
At line 2144 BOUNDS
At line 2658 ENDATA
Problem neos-2652786-brda has 342 rows, 524 columns and 1690 elements
Coin0008I neos-2652786-brda read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 0.028325 seconds
Cgl0004I processed model has 256 rows, 436 columns (436 integer (199 of which binary)) and 1474 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.107%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 90 integers unsatisfied sum - 13.4999
Cbc0038I Pass   1: suminf.   11.78677 (51) obj. 34.5156 iterations 69
Cbc0038I Pass   2: suminf.    9.27315 (36) obj. 29.7689 iterations 73
Cbc0038I Solution found of 29.7689
Cbc0038I Branch and bound needed to clear up 36 general integers
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 318 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 55 rows 51 columns
Cbc0038I Mini branch and bound improved solution from 1e+50 to 18.7873 (1.24 seconds)
Cbc0038I Round again with cutoff of 16.9085
Cbc0038I Pass   3: suminf.   11.40381 (48) obj. 16.9085 iterations 17
Cbc0038I Pass   4: suminf.    8.41999 (40) obj. 16.9085 iterations 41
Cbc0038I Solution found of 16.9085
Cbc0038I Branch and bound needed to clear up 40 general integers
Cbc0038I Full problem 257 rows 436 columns, reduced to 79 rows 87 columns
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 322 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 54 rows 53 columns
Cbc0038I Mini branch and bound did not improve solution (2.04 seconds)
Cbc0038I After 2.04 seconds - Feasibility pump exiting with objective of 18.7873 - took 4.96 seconds
Cbc0012I Integer solution of 18.787275 found by feasibility pump after 0 iterations and 0 nodes (2.04 seconds)
Cbc0038I Full problem 256 rows 436 columns, reduced to 45 rows 36 columns
Cbc0031I 17 added rows had average density of 42.117647
Cbc0013I At root node, 17 cuts changed objective from 0 to 0 in 17 passes
Cbc0014I Cut generator 0 (Probing) - 9 row cuts average 17.6 elements, 0 column cuts (0 active)  in 0.182 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 72 row cuts average 145.3 elements, 0 column cuts (0 active)  in 0.130 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.034 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.049 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.015 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 31 row cuts average 20.8 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.025 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 146 row cuts average 127.6 elements, 0 column cuts (0 active)  in 0.183 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 18.787275 best solution, best possible 0 (4.81 seconds)
Cbc0010I After 1335390 nodes, 48214 on tree, 7.0501246 best solution, best possible 0 (4042.14 seconds)
Cbc0010I After 1335540 nodes, 48211 on tree, 7.0501246 best solution, best possible 0 (4042.85 seconds)
Cbc0010I After 1335708 nodes, 48210 on tree, 7.0501246 best solution, best possible 0 (4043.56 seconds)
Cbc0010I After 1335888 nodes, 48211 on tree, 7.0501246 best solution, best possible 0 (4044.26 seconds)
Cbc0010I After 1336059 nodes, 48210 on tree, 7.0501246 best solution, best possible 0 (4044.97 seconds)
Cbc0010I After 1336249 nodes, 48212 on tree, 7.0501246 best solution, best possible 0 (4045.68 seconds)
Cbc0010I After 1336425 nodes, 48214 on tree, 7.0501246 best solution, best possible 0 (4046.39 seconds)
Cbc0010I After 1336601 nodes, 48215 on tree, 7.0501246 best solution, best possible 0 (4047.09 seconds)
Cbc0010I After 1336802 nodes, 48212 on tree, 7.0501246 best solution, best possible 0 (4047.80 seconds)
Cbc0010I After 1336968 nodes, 48214 on tree, 7.0501246 best solution, best possible 0 (4048.51 seconds)
Cbc0010I After 1337153 nodes, 48213 on tree, 7.0501246 best solution, best possible 0 (4049.22 seconds)
Cbc0010I After 1337380 nodes, 48209 on tree, 7.0501246 best solution, best possible 0 (4049.93 seconds)
Cbc0010I After 1337584 nodes, 48211 on tree, 7.0501246 best solution, best possible 0 (4050.63 seconds)
Cbc0010I After 1337843 nodes, 48214 on tree, 7.0501246 best solution, best possible 0 (4051.34 seconds)
Cbc0010I After 1338121 nodes, 48215 on tree, 7.0501246 best solution, best possible 0 (4052.05 seconds)
Cbc0010I After 1338429 nodes, 48217 on tree, 7.0501246 best solution, best possible 0 (4052.76 seconds)
Cbc0010I After 1338686 nodes, 48217 on tree, 7.0501246 best solution, best possible 0 (4053.46 seconds)
Cbc0010I After 1338928 nodes, 48214 on tree, 7.0501246 best solution, best possible 0 (4054.17 seconds)
Cbc0010I After 1339229 nodes, 48217 on tree, 7.0501246 best solution, best possible 0 (4054.88 seconds)
Cbc0010I After 1339557 nodes, 48215 on tree, 7.0501246 best solution, best possible 0 (4055.58 seconds)
Cbc0010I After 1339874 nodes, 48214 on tree, 7.0501246 best solution, best possible 0 (4056.29 seconds)
Cbc0010I After 1340143 nodes, 48217 on tree, 7.0501246 best solution, best possible 0 (4057.00 seconds)
Cbc0010I After 1340419 nodes, 48219 on tree, 7.0501246 best solution, best possible 0 (4057.70 seconds)
Cbc0010I After 1340695 nodes, 48215 on tree, 7.0501246 best solution, best possible 0 (4058.41 seconds)
Cbc0010I After 1340968 nodes, 48212 on tree, 7.0501246 best solution, best possible 0 (4059.12 seconds)
Cbc0010I After 1341187 nodes, 48212 on tree, 7.0501246 best solution, best possible 0 (4059.82 seconds)
Cbc0010I After 1341501 nodes, 48217 on tree, 7.0501246 best solution, best possible 0 (4060.53 seconds)
Cbc0010I After 1341873 nodes, 48213 on tree, 7.0501246 best solution, best possible 0 (4061.24 seconds)
Cbc0010I After 1342150 nodes, 48212 on tree, 7.0501246 best solution, best possible 0 (4061.95 seconds)
Cbc0010I After 1342289 nodes, 48213 on tree, 7.0501246 best solution, best possible 0 (4062.66 seconds)
Cbc0010I After 1342497 nodes, 48217 on tree, 7.0501246 best solution, best possible 0 (4063.36 seconds)
Cbc0010I After 1342840 nodes, 48212 on tree, 7.0501246 best solution, best possible 0 (4064.07 seconds)
Cbc0010I After 1343059 nodes, 48210 on tree, 7.0501246 best solution, best possible 0 (4064.78 seconds)
Cbc0010I After 1343271 nodes, 48210 on tree, 7.0501246 best solution, best possible 0 (4065.48 seconds)
Cbc0010I After 1343767 nodes, 48217 on tree, 7.0501246 best solution, best possible 0 (4066.19 seconds)
Cbc0010I After 1344252 nodes, 48211 on tree, 7.0501246 best solution, best possible 0 (4066.90 seconds)
Cbc0010I After 1344439 nodes, 48211 on tree, 7.0501246 best solution, best possible 0 (4067.61 seconds)
Cbc0010I After 1344620 nodes, 48216 on tree, 7.0501246 best solution, best possible 0 (4068.32 seconds)
Cbc0010I After 1344832 nodes, 48213 on tree, 7.0501246 best solution, best possible 0 (4069.02 seconds)
Cbc0010I After 1345108 nodes, 48214 on tree, 7.0501246 best solution, best possible 0 (4069.73 seconds)
Cbc0010I After 1345300 nodes, 48212 on tree, 7.0501246 best solution, best possible 0 (4070.43 seconds)
Cbc0010I After 1345536 nodes, 48166 on tree, 7.0501246 best solution, best possible 0 (4071.14 seconds)
Cbc0010I After 1345830 nodes, 47972 on tree, 7.0501246 best solution, best possible 0 (4071.85 seconds)
Cbc0010I After 1346035 nodes, 47906 on tree, 7.0501246 best solution, best possible 0 (4072.56 seconds)
Cbc0010I After 1346221 nodes, 47947 on tree, 7.0501246 best solution, best possible 0 (4073.26 seconds)
Cbc0010I After 1346397 nodes, 47960 on tree, 7.0501246 best solution, best possible 0 (4073.97 seconds)
Cbc0010I After 1346573 nodes, 48006 on tree, 7.0501246 best solution, best possible 0 (4074.68 seconds)
Cbc0010I After 1346764 nodes, 48074 on tree, 7.0501246 best solution, best possible 0 (4075.39 seconds)
Cbc0010I After 1346927 nodes, 48141 on tree, 7.0501246 best solution, best possible 0 (4076.09 seconds)
Cbc0010I After 1347252 nodes, 48143 on tree, 7.0501246 best solution, best possible 0 (4076.80 seconds)
Cbc0010I After 1347597 nodes, 48139 on tree, 7.0501246 best solution, best possible 0 (4077.51 seconds)
Cbc0010I After 1347886 nodes, 48115 on tree, 7.0501246 best solution, best possible 0 (4078.21 seconds)
Cbc0010I After 1348197 nodes, 48099 on tree, 7.0501246 best solution, best possible 0 (4078.92 seconds)
Cbc0010I After 1348523 nodes, 48105 on tree, 7.0501246 best solution, best possible 0 (4079.63 seconds)
Cbc0010I After 1348980 nodes, 48103 on tree, 7.0501246 best solution, best possible 0 (4080.34 seconds)
Cbc0010I After 1349272 nodes, 48100 on tree, 7.0501246 best solution, best possible 0 (4081.04 seconds)
Cbc0010I After 1349598 nodes, 48085 on tree, 7.0501246 best solution, best possible 0 (4081.75 seconds)
Cbc0010I After 1349928 nodes, 48065 on tree, 7.0501246 best solution, best possible 0 (4082.46 seconds)
Cbc0010I After 1350119 nodes, 48011 on tree, 7.0501246 best solution, best possible 0 (4083.16 seconds)
Cbc0010I After 1350349 nodes, 47973 on tree, 7.0501246 best solution, best possible 0 (4083.87 seconds)
Cbc0010I After 1350562 nodes, 47929 on tree, 7.0501246 best solution, best possible 0 (4084.58 seconds)
Cbc0010I After 1350785 nodes, 47916 on tree, 7.0501246 best solution, best possible 0 (4085.29 seconds)
Cbc0010I After 1350984 nodes, 47900 on tree, 7.0501246 best solution, best possible 0 (4086.00 seconds)
Cbc0010I After 1351155 nodes, 47918 on tree, 7.0501246 best solution, best possible 0 (4086.71 seconds)
Cbc0010I After 1351332 nodes, 47952 on tree, 7.0501246 best solution, best possible 0 (4087.42 seconds)
Cbc0010I After 1351503 nodes, 48000 on tree, 7.0501246 best solution, best possible 0 (4088.12 seconds)
Cbc0010I After 1351691 nodes, 48057 on tree, 7.0501246 best solution, best possible 0 (4088.83 seconds)
Cbc0010I After 1351877 nodes, 48103 on tree, 7.0501246 best solution, best possible 0 (4089.54 seconds)
Cbc0010I After 1352128 nodes, 48142 on tree, 7.0501246 best solution, best possible 0 (4090.24 seconds)
Cbc0010I After 1352451 nodes, 48135 on tree, 7.0501246 best solution, best possible 0 (4090.95 seconds)
Cbc0010I After 1352796 nodes, 48131 on tree, 7.0501246 best solution, best possible 0 (4091.66 seconds)
Cbc0010I After 1353179 nodes, 48119 on tree, 7.0501246 best solution, best possible 0 (4092.37 seconds)
Cbc0010I After 1353465 nodes, 48111 on tree, 7.0501246 best solution, best possible 0 (4093.08 seconds)
Cbc0010I After 1353823 nodes, 48113 on tree, 7.0501246 best solution, best possible 0 (4093.78 seconds)
Cbc0010I After 1354193 nodes, 48093 on tree, 7.0501246 best solution, best possible 0 (4094.49 seconds)
Cbc0010I After 1354536 nodes, 48095 on tree, 7.0501246 best solution, best possible 0 (4095.20 seconds)
Cbc0010I After 1354865 nodes, 48091 on tree, 7.0501246 best solution, best possible 0 (4095.90 seconds)
Cbc0010I After 1355285 nodes, 48080 on tree, 7.0501246 best solution, best possible 0 (4096.61 seconds)
Cbc0010I After 1355637 nodes, 48074 on tree, 7.0501246 best solution, best possible 0 (4097.32 seconds)
Cbc0010I After 1355958 nodes, 48068 on tree, 7.0501246 best solution, best possible 0 (4098.02 seconds)
Cbc0010I After 1356292 nodes, 48065 on tree, 7.0501246 best solution, best possible 0 (4098.73 seconds)
Cbc0010I After 1356597 nodes, 48064 on tree, 7.0501246 best solution, best possible 0 (4099.44 seconds)
Cbc0010I After 1356887 nodes, 48061 on tree, 7.0501246 best solution, best possible 0 (4100.14 seconds)
Cbc0010I After 1357250 nodes, 48069 on tree, 7.0501246 best solution, best possible 0 (4100.85 seconds)
Cbc0010I After 1357544 nodes, 48063 on tree, 7.0501246 best solution, best possible 0 (4101.56 seconds)
Cbc0010I After 1357889 nodes, 48031 on tree, 7.0501246 best solution, best possible 0 (4102.26 seconds)
Cbc0010I After 1358200 nodes, 48035 on tree, 7.0501246 best solution, best possible 0 (4102.97 seconds)
Cbc0010I After 1358457 nodes, 48037 on tree, 7.0501246 best solution, best possible 0 (4103.68 seconds)
Cbc0010I After 1358795 nodes, 48039 on tree, 7.0501246 best solution, best possible 0 (4104.38 seconds)
Cbc0010I After 1359112 nodes, 48039 on tree, 7.0501246 best solution, best possible 0 (4105.09 seconds)
Cbc0010I After 1359452 nodes, 48038 on tree, 7.0501246 best solution, best possible 0 (4105.80 seconds)
Cbc0010I After 1359779 nodes, 48033 on tree, 7.0501246 best solution, best possible 0 (4106.50 seconds)
Cbc0010I After 1359991 nodes, 48037 on tree, 7.0501246 best solution, best possible 0 (4107.21 seconds)
Cbc0010I After 1360287 nodes, 48038 on tree, 7.0501246 best solution, best possible 0 (4107.92 seconds)
Cbc0010I After 1360648 nodes, 48019 on tree, 7.0501246 best solution, best possible 0 (4108.62 seconds)
Cbc0010I After 1360873 nodes, 47990 on tree, 7.0501246 best solution, best possible 0 (4109.33 seconds)
Cbc0010I After 1361021 nodes, 47974 on tree, 7.0501246 best solution, best possible 0 (4110.05 seconds)
Cbc0010I After 1361098 nodes, 48018 on tree, 7.0501246 best solution, best possible 0 (4110.75 seconds)
Cbc0010I After 1361190 nodes, 48075 on tree, 7.0501246 best solution, best possible 0 (4111.46 seconds)
Cbc0010I After 1361288 nodes, 48133 on tree, 7.0501246 best solution, best possible 0 (4112.17 seconds)
Cbc0010I After 1361389 nodes, 48186 on tree, 7.0501246 best solution, best possible 0 (4112.88 seconds)
Cbc0010I After 1361488 nodes, 48246 on tree, 7.0501246 best solution, best possible 0 (4113.59 seconds)
Cbc0010I After 1361598 nodes, 48310 on tree, 7.0501246 best solution, best possible 0 (4114.30 seconds)
Cbc0010I After 1361684 nodes, 48355 on tree, 7.0501246 best solution, best possible 0 (4115.01 seconds)
Cbc0010I After 1361768 nodes, 48385 on tree, 7.0501246 best solution, best possible 0 (4115.71 seconds)
Cbc0010I After 1361832 nodes, 48411 on tree, 7.0501246 best solution, best possible 0 (4116.43 seconds)
Cbc0010I After 1361910 nodes, 48445 on tree, 7.0501246 best solution, best possible 0 (4117.14 seconds)
Cbc0010I After 1361986 nodes, 48475 on tree, 7.0501246 best solution, best possible 0 (4117.85 seconds)
Cbc0010I After 1362260 nodes, 48453 on tree, 7.0501246 best solution, best possible 0 (4118.55 seconds)
Cbc0010I After 1362517 nodes, 48398 on tree, 7.0501246 best solution, best possible 0 (4119.26 seconds)
Cbc0010I After 1362791 nodes, 48347 on tree, 7.0501246 best solution, best possible 0 (4119.97 seconds)
Cbc0010I After 1363044 nodes, 48276 on tree, 7.0501246 best solution, best possible 0 (4120.67 seconds)
Cbc0010I After 1363297 nodes, 48199 on tree, 7.0501246 best solution, best possible 0 (4121.38 seconds)
Cbc0010I After 1363516 nodes, 48157 on tree, 7.0501246 best solution, best possible 0 (4122.09 seconds)
Cbc0010I After 1363758 nodes, 48092 on tree, 7.0501246 best solution, best possible 0 (4122.80 seconds)
Cbc0010I After 1364022 nodes, 48032 on tree, 7.0501246 best solution, best possible 0 (4123.51 seconds)
Cbc0010I After 1364262 nodes, 47989 on tree, 7.0501246 best solution, best possible 0 (4124.21 seconds)
Cbc0010I After 1364489 nodes, 47916 on tree, 7.0501246 best solution, best possible 0 (4124.92 seconds)
Cbc0010I After 1364726 nodes, 47879 on tree, 7.0501246 best solution, best possible 0 (4125.63 seconds)
Cbc0010I After 1364939 nodes, 47841 on tree, 7.0501246 best solution, best possible 0 (4126.34 seconds)
Cbc0010I After 1365049 nodes, 47853 on tree, 7.0501246 best solution, best possible 0 (4127.04 seconds)
Cbc0010I After 1365128 nodes, 47905 on tree, 7.0501246 best solution, best possible 0 (4127.75 seconds)
Cbc0010I After 1365214 nodes, 47956 on tree, 7.0501246 best solution, best possible 0 (4128.46 seconds)
Cbc0010I After 1365289 nodes, 47991 on tree, 7.0501246 best solution, best possible 0 (4129.17 seconds)
Cbc0010I After 1365380 nodes, 48039 on tree, 7.0501246 best solution, best possible 0 (4129.87 seconds)
Cbc0010I After 1365463 nodes, 48066 on tree, 7.0501246 best solution, best possible 0 (4130.58 seconds)
Cbc0010I After 1365585 nodes, 48108 on tree, 7.0501246 best solution, best possible 0 (4131.29 seconds)
Cbc0010I After 1365687 nodes, 48146 on tree, 7.0501246 best solution, best possible 0 (4132.01 seconds)
Cbc0010I After 1365786 nodes, 48192 on tree, 7.0501246 best solution, best possible 0 (4132.73 seconds)
Cbc0010I After 1365874 nodes, 48222 on tree, 7.0501246 best solution, best possible 0 (4133.43 seconds)
Cbc0010I After 1365952 nodes, 48250 on tree, 7.0501246 best solution, best possible 0 (4134.15 seconds)
Cbc0010I After 1366063 nodes, 48266 on tree, 7.0501246 best solution, best possible 0 (4134.86 seconds)
Cbc0010I After 1366340 nodes, 48212 on tree, 7.0501246 best solution, best possible 0 (4135.57 seconds)
Cbc0010I After 1366638 nodes, 48149 on tree, 7.0501246 best solution, best possible 0 (4136.27 seconds)
Cbc0010I After 1366869 nodes, 48061 on tree, 7.0501246 best solution, best possible 0 (4136.98 seconds)
Cbc0010I After 1367046 nodes, 48021 on tree, 7.0501246 best solution, best possible 0 (4137.69 seconds)
Cbc0010I After 1367233 nodes, 47958 on tree, 7.0501246 best solution, best possible 0 (4138.41 seconds)
Cbc0010I After 1367395 nodes, 47921 on tree, 7.0501246 best solution, best possible 0 (4139.11 seconds)
Cbc0010I After 1367563 nodes, 47871 on tree, 7.0501246 best solution, best possible 0 (4139.83 seconds)
Cbc0010I After 1367737 nodes, 47802 on tree, 7.0501246 best solution, best possible 0 (4140.53 seconds)
Cbc0010I After 1367949 nodes, 47740 on tree, 7.0501246 best solution, best possible 0 (4141.24 seconds)
Cbc0010I After 1368199 nodes, 47718 on tree, 7.0501246 best solution, best possible 0 (4141.95 seconds)
Cbc0010I After 1368565 nodes, 47716 on tree, 7.0501246 best solution, best possible 0 (4142.66 seconds)
Cbc0010I After 1368922 nodes, 47723 on tree, 7.0501246 best solution, best possible 0 (4143.36 seconds)
Cbc0010I After 1369053 nodes, 47745 on tree, 7.0501246 best solution, best possible 0 (4144.08 seconds)
Cbc0010I After 1369134 nodes, 47790 on tree, 7.0501246 best solution, best possible 0 (4144.79 seconds)
Cbc0010I After 1369215 nodes, 47838 on tree, 7.0501246 best solution, best possible 0 (4145.50 seconds)
Cbc0010I After 1369292 nodes, 47860 on tree, 7.0501246 best solution, best possible 0 (4146.21 seconds)
Cbc0010I After 1369369 nodes, 47895 on tree, 7.0501246 best solution, best possible 0 (4146.92 seconds)
Cbc0010I After 1369491 nodes, 47902 on tree, 7.0501246 best solution, best possible 0 (4147.63 seconds)
Cbc0010I After 1369579 nodes, 47903 on tree, 7.0501246 best solution, best possible 0 (4148.34 seconds)
Cbc0010I After 1369721 nodes, 47899 on tree, 7.0501246 best solution, best possible 0 (4149.05 seconds)
Cbc0010I After 1369836 nodes, 47907 on tree, 7.0501246 best solution, best possible 0 (4149.76 seconds)
Cbc0010I After 1369941 nodes, 47917 on tree, 7.0501246 best solution, best possible 0 (4150.47 seconds)
Cbc0010I After 1370094 nodes, 47950 on tree, 7.0501246 best solution, best possible 0 (4151.18 seconds)
Cbc0010I After 1370244 nodes, 47981 on tree, 7.0501246 best solution, best possible 0 (4151.89 seconds)
Cbc0010I After 1370432 nodes, 48036 on tree, 7.0501246 best solution, best possible 0 (4152.59 seconds)
Cbc0010I After 1370619 nodes, 48085 on tree, 7.0501246 best solution, best possible 0 (4153.30 seconds)
Cbc0010I After 1370784 nodes, 48120 on tree, 7.0501246 best solution, best possible 0 (4154.00 seconds)
Cbc0010I After 1370999 nodes, 48168 on tree, 7.0501246 best solution, best possible 0 (4154.71 seconds)
Cbc0010I After 1371335 nodes, 48163 on tree, 7.0501246 best solution, best possible 0 (4155.42 seconds)
Cbc0010I After 1371640 nodes, 48152 on tree, 7.0501246 best solution, best possible 0 (4156.12 seconds)
Cbc0010I After 1371915 nodes, 48146 on tree, 7.0501246 best solution, best possible 0 (4156.83 seconds)
Cbc0010I After 1372196 nodes, 48129 on tree, 7.0501246 best solution, best possible 0 (4157.54 seconds)
Cbc0010I After 1372485 nodes, 48128 on tree, 7.0501246 best solution, best possible 0 (4158.24 seconds)
Cbc0010I After 1372824 nodes, 48108 on tree, 7.0501246 best solution, best possible 0 (4158.95 seconds)
Cbc0010I After 1373083 nodes, 48098 on tree, 7.0501246 best solution, best possible 0 (4159.66 seconds)
Cbc0010I After 1373413 nodes, 48096 on tree, 7.0501246 best solution, best possible 0 (4160.36 seconds)
Cbc0010I After 1373654 nodes, 48099 on tree, 7.0501246 best solution, best possible 0 (4161.07 seconds)
Cbc0010I After 1373931 nodes, 48098 on tree, 7.0501246 best solution, best possible 0 (4161.78 seconds)
Cbc0010I After 1374201 nodes, 48075 on tree, 7.0501246 best solution, best possible 0 (4162.49 seconds)
Cbc0010I After 1374495 nodes, 48074 on tree, 7.0501246 best solution, best possible 0 (4163.19 seconds)
Cbc0010I After 1374816 nodes, 48075 on tree, 7.0501246 best solution, best possible 0 (4163.90 seconds)
Cbc0010I After 1375158 nodes, 48063 on tree, 7.0501246 best solution, best possible 0 (4164.61 seconds)
Cbc0010I After 1375452 nodes, 48056 on tree, 7.0501246 best solution, best possible 0 (4165.31 seconds)
Cbc0010I After 1375801 nodes, 48056 on tree, 7.0501246 best solution, best possible 0 (4166.02 seconds)
Cbc0010I After 1376108 nodes, 48062 on tree, 7.0501246 best solution, best possible 0 (4166.73 seconds)
Cbc0010I After 1376454 nodes, 48058 on tree, 7.0501246 best solution, best possible 0 (4167.44 seconds)
Cbc0010I After 1376801 nodes, 48061 on tree, 7.0501246 best solution, best possible 0 (4168.14 seconds)
Cbc0010I After 1377126 nodes, 48060 on tree, 7.0501246 best solution, best possible 0 (4168.85 seconds)
Cbc0010I After 1377436 nodes, 48058 on tree, 7.0501246 best solution, best possible 0 (4169.55 seconds)
Cbc0010I After 1377733 nodes, 48027 on tree, 7.0501246 best solution, best possible 0 (4170.26 seconds)
Cbc0010I After 1378070 nodes, 48030 on tree, 7.0501246 best solution, best possible 0 (4170.97 seconds)
Cbc0010I After 1378400 nodes, 48018 on tree, 7.0501246 best solution, best possible 0 (4171.68 seconds)
Cbc0010I After 1378649 nodes, 47959 on tree, 7.0501246 best solution, best possible 0 (4172.38 seconds)
Cbc0010I After 1378853 nodes, 47937 on tree, 7.0501246 best solution, best possible 0 (4173.09 seconds)
Cbc0010I After 1379059 nodes, 47933 on tree, 7.0501246 best solution, best possible 0 (4173.80 seconds)
Cbc0010I After 1379229 nodes, 47983 on tree, 7.0501246 best solution, best possible 0 (4174.50 seconds)
Cbc0010I After 1379429 nodes, 48024 on tree, 7.0501246 best solution, best possible 0 (4175.21 seconds)
Cbc0010I After 1379604 nodes, 48059 on tree, 7.0501246 best solution, best possible 0 (4175.92 seconds)
Cbc0010I After 1379825 nodes, 48098 on tree, 7.0501246 best solution, best possible 0 (4176.63 seconds)
Cbc0010I After 1379982 nodes, 48160 on tree, 7.0501246 best solution, best possible 0 (4177.34 seconds)
Cbc0010I After 1380270 nodes, 48152 on tree, 7.0501246 best solution, best possible 0 (4178.05 seconds)
Cbc0010I After 1380601 nodes, 48144 on tree, 7.0501246 best solution, best possible 0 (4178.75 seconds)
Cbc0010I After 1380954 nodes, 48137 on tree, 7.0501246 best solution, best possible 0 (4179.46 seconds)
Cbc0010I After 1381299 nodes, 48119 on tree, 7.0501246 best solution, best possible 0 (4180.17 seconds)
Cbc0010I After 1381533 nodes, 48122 on tree, 7.0501246 best solution, best possible 0 (4180.87 seconds)
Cbc0010I After 1381795 nodes, 48124 on tree, 7.0501246 best solution, best possible 0 (4181.58 seconds)
Cbc0010I After 1382072 nodes, 48111 on tree, 7.0501246 best solution, best possible 0 (4182.29 seconds)
Cbc0010I After 1382372 nodes, 48104 on tree, 7.0501246 best solution, best possible 0 (4183.00 seconds)
Cbc0010I After 1382740 nodes, 48100 on tree, 7.0501246 best solution, best possible 0 (4183.70 seconds)
Cbc0010I After 1383087 nodes, 48106 on tree, 7.0501246 best solution, best possible 0 (4184.41 seconds)
Cbc0010I After 1383454 nodes, 48101 on tree, 7.0501246 best solution, best possible 0 (4185.11 seconds)
Cbc0010I After 1383792 nodes, 48103 on tree, 7.0501246 best solution, best possible 0 (4185.82 seconds)
Cbc0010I After 1384143 nodes, 48085 on tree, 7.0501246 best solution, best possible 0 (4186.53 seconds)
Cbc0010I After 1384483 nodes, 48079 on tree, 7.0501246 best solution, best possible 0 (4187.24 seconds)
Cbc0010I After 1384750 nodes, 48079 on tree, 7.0501246 best solution, best possible 0 (4187.94 seconds)
Cbc0010I After 1384999 nodes, 48079 on tree, 7.0501246 best solution, best possible 0 (4188.65 seconds)
Cbc0010I After 1385320 nodes, 48073 on tree, 7.0501246 best solution, best possible 0 (4189.36 seconds)
Cbc0010I After 1385639 nodes, 48073 on tree, 7.0501246 best solution, best possible 0 (4190.07 seconds)
Cbc0010I After 1385883 nodes, 48061 on tree, 7.0501246 best solution, best possible 0 (4190.77 seconds)
Cbc0010I After 1386158 nodes, 48053 on tree, 7.0501246 best solution, best possible 0 (4191.48 seconds)
Cbc0010I After 1386475 nodes, 48000 on tree, 7.0501246 best solution, best possible 0 (4192.19 seconds)
Cbc0010I After 1386729 nodes, 47945 on tree, 7.0501246 best solution, best possible 0 (4192.90 seconds)
Cbc0010I After 1386967 nodes, 47894 on tree, 7.0501246 best solution, best possible 0 (4193.61 seconds)
Cbc0010I After 1387153 nodes, 47938 on tree, 7.0501246 best solution, best possible 0 (4194.31 seconds)
Cbc0010I After 1387345 nodes, 47990 on tree, 7.0501246 best solution, best possible 0 (4195.02 seconds)
Cbc0010I After 1387521 nodes, 48041 on tree, 7.0501246 best solution, best possible 0 (4195.73 seconds)
Cbc0010I After 1387774 nodes, 48109 on tree, 7.0501246 best solution, best possible 0 (4196.43 seconds)
Cbc0010I After 1387990 nodes, 48177 on tree, 7.0501246 best solution, best possible 0 (4197.14 seconds)
Cbc0010I After 1388350 nodes, 48173 on tree, 7.0501246 best solution, best possible 0 (4197.85 seconds)
Cbc0010I After 1388649 nodes, 48161 on tree, 7.0501246 best solution, best possible 0 (4198.55 seconds)
Cbc0010I After 1388958 nodes, 48148 on tree, 7.0501246 best solution, best possible 0 (4199.26 seconds)
Cbc0010I After 1389260 nodes, 48141 on tree, 7.0501246 best solution, best possible 0 (4199.97 seconds)
Cbc0010I After 1389579 nodes, 48122 on tree, 7.0501246 best solution, best possible 0 (4200.68 seconds)
Cbc0010I After 1389848 nodes, 48113 on tree, 7.0501246 best solution, best possible 0 (4201.38 seconds)
Cbc0010I After 1390144 nodes, 48113 on tree, 7.0501246 best solution, best possible 0 (4202.09 seconds)
