Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/liu.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/liu.txt -quit (default strategy 1)
At line 1 NAME           liu
At line 2 ROWS
At line 2182 COLUMNS
At line 7600 RHS
At line 8690 BOUNDS
At line 9780 ENDATA
Problem liu has 2178 rows, 1156 columns and 10626 elements
Coin0008I liu read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 346 - 0.13959 seconds
Cgl0004I processed model has 2178 rows, 1154 columns (1087 integer (1087 of which binary)) and 10626 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.041%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 371 integers unsatisfied sum - 6.88631
Cbc0038I Pass   1: suminf.    0.00000 (0) obj. 4720 iterations 421
Cbc0038I Solution found of 4720
Cbc0038I Relaxing continuous gives 4720
Cbc0038I Before mini branch and bound, 716 integers at bound fixed and 34 continuous
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 666 rows 203 columns
Cbc0038I Mini branch and bound improved solution from 4720 to 4292 (1.86 seconds)
Cbc0038I Freeing continuous variables gives a solution of 4292
Cbc0038I Round again with cutoff of 3897.4
Cbc0038I Pass   2: suminf.    0.09795 (8) obj. 3897.4 iterations 9
Cbc0038I Pass   3: suminf.    0.02746 (3) obj. 3897.4 iterations 24
Cbc0038I Pass   4: suminf.    0.00412 (2) obj. 3897.4 iterations 9
Cbc0038I Pass   5: suminf.    0.01007 (2) obj. 3897.4 iterations 2
Cbc0038I Pass   6: suminf.    5.65254 (226) obj. 3897.4 iterations 642
Cbc0038I Pass   7: suminf.    4.72565 (202) obj. 3897.4 iterations 83
Cbc0038I Pass   8: suminf.    4.28459 (186) obj. 3897.4 iterations 90
Cbc0038I Pass   9: suminf.    3.24101 (155) obj. 3897.4 iterations 93
Cbc0038I Pass  10: suminf.    2.78709 (125) obj. 3897.4 iterations 121
Cbc0038I Pass  11: suminf.    2.09216 (78) obj. 3897.4 iterations 132
Cbc0038I Pass  12: suminf.    1.85163 (66) obj. 3897.4 iterations 65
Cbc0038I Pass  13: suminf.    1.74708 (65) obj. 3897.4 iterations 120
Cbc0038I Pass  14: suminf.    1.70683 (41) obj. 3897.4 iterations 95
Cbc0038I Pass  15: suminf.    1.78042 (57) obj. 3897.4 iterations 98
Cbc0038I Pass  16: suminf.    1.16933 (32) obj. 3897.4 iterations 98
Cbc0038I Pass  17: suminf.    1.65492 (58) obj. 3897.4 iterations 82
Cbc0038I Pass  18: suminf.    1.13813 (25) obj. 3897.4 iterations 95
Cbc0038I Pass  19: suminf.    1.39819 (44) obj. 3897.4 iterations 79
Cbc0038I Pass  20: suminf.    1.11979 (28) obj. 3897.4 iterations 79
Cbc0038I Pass  21: suminf.    0.97023 (32) obj. 3897.4 iterations 70
Cbc0038I Pass  22: suminf.    1.01095 (25) obj. 3897.4 iterations 62
Cbc0038I Pass  23: suminf.    1.03477 (27) obj. 3897.4 iterations 47
Cbc0038I Pass  24: suminf.    0.86068 (19) obj. 3897.4 iterations 53
Cbc0038I Pass  25: suminf.    0.68373 (21) obj. 3897.4 iterations 46
Cbc0038I Pass  26: suminf.    1.02953 (25) obj. 3897.4 iterations 60
Cbc0038I Pass  27: suminf.    0.72493 (17) obj. 3897.4 iterations 47
Cbc0038I Pass  28: suminf.    0.74137 (14) obj. 3897.4 iterations 36
Cbc0038I Pass  29: suminf.    0.62181 (11) obj. 3897.4 iterations 34
Cbc0038I Pass  30: suminf.    0.71469 (14) obj. 3897.4 iterations 29
Cbc0038I Pass  31: suminf.    0.61396 (15) obj. 3897.4 iterations 37
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 445 integers at bound fixed and 0 continuous
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 2178 rows 709 columns - 6 fixed gives 2178, 703 - still too large
Cbc0038I Mini branch and bound did not improve solution (2.52 seconds)
Cbc0038I After 2.52 seconds - Feasibility pump exiting with objective of 4292 - took 1.31 seconds
Cbc0012I Integer solution of 4292 found by feasibility pump after 0 iterations and 0 nodes (2.53 seconds)
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 2178 rows 438 columns - 5 fixed gives 2178, 433 - still too large
Cbc0031I 311 added rows had average density of 5.8938907
Cbc0013I At root node, 311 cuts changed objective from 346 to 560 in 10 passes
Cbc0014I Cut generator 0 (Probing) - 445 row cuts average 5.1 elements, 0 column cuts (231 active)  in 0.049 seconds - new frequency is 1
Cbc0014I Cut generator 1 (Gomory) - 437 row cuts average 8.0 elements, 0 column cuts (0 active)  in 0.384 seconds - new frequency is 1
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.043 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 793 row cuts average 3.5 elements, 0 column cuts (0 active)  in 0.124 seconds - new frequency is 1
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.055 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 626 row cuts average 5.2 elements, 0 column cuts (0 active)  in 0.433 seconds - new frequency is 1
Cbc0010I After 0 nodes, 1 on tree, 4292 best solution, best possible 560 (6.20 seconds)
Cbc0010I After 176054 nodes, 21435 on tree, 1590 best solution, best possible 560 (7056.41 seconds)
Cbc0010I After 176088 nodes, 21437 on tree, 1590 best solution, best possible 560 (7057.12 seconds)
Cbc0010I After 176120 nodes, 21438 on tree, 1590 best solution, best possible 560 (7057.84 seconds)
Cbc0010I After 176159 nodes, 21437 on tree, 1590 best solution, best possible 560 (7058.54 seconds)
Cbc0010I After 176195 nodes, 21438 on tree, 1590 best solution, best possible 560 (7059.27 seconds)
Cbc0010I After 176233 nodes, 21434 on tree, 1590 best solution, best possible 560 (7059.98 seconds)
Cbc0010I After 176268 nodes, 21435 on tree, 1590 best solution, best possible 560 (7060.70 seconds)
Cbc0010I After 176307 nodes, 21431 on tree, 1590 best solution, best possible 560 (7061.41 seconds)
Cbc0010I After 176336 nodes, 21432 on tree, 1590 best solution, best possible 560 (7062.11 seconds)
Cbc0010I After 176367 nodes, 21431 on tree, 1590 best solution, best possible 560 (7062.81 seconds)
Cbc0010I After 176398 nodes, 21432 on tree, 1590 best solution, best possible 560 (7063.53 seconds)
Cbc0010I After 176433 nodes, 21434 on tree, 1590 best solution, best possible 560 (7064.27 seconds)
Cbc0010I After 176465 nodes, 21437 on tree, 1590 best solution, best possible 560 (7064.99 seconds)
Cbc0010I After 176505 nodes, 21434 on tree, 1590 best solution, best possible 560 (7065.71 seconds)
Cbc0010I After 176545 nodes, 21432 on tree, 1590 best solution, best possible 560 (7066.42 seconds)
Cbc0010I After 176582 nodes, 21433 on tree, 1590 best solution, best possible 560 (7067.14 seconds)
Cbc0010I After 176613 nodes, 21435 on tree, 1590 best solution, best possible 560 (7067.84 seconds)
Cbc0010I After 176648 nodes, 21431 on tree, 1590 best solution, best possible 560 (7068.55 seconds)
Cbc0010I After 176676 nodes, 21432 on tree, 1590 best solution, best possible 560 (7069.26 seconds)
Cbc0010I After 176709 nodes, 21435 on tree, 1590 best solution, best possible 560 (7069.96 seconds)
Cbc0010I After 176740 nodes, 21432 on tree, 1590 best solution, best possible 560 (7070.67 seconds)
Cbc0010I After 176773 nodes, 21433 on tree, 1590 best solution, best possible 560 (7071.40 seconds)
Cbc0010I After 176803 nodes, 21438 on tree, 1590 best solution, best possible 560 (7072.10 seconds)
Cbc0010I After 176834 nodes, 21438 on tree, 1590 best solution, best possible 560 (7072.83 seconds)
Cbc0010I After 176866 nodes, 21438 on tree, 1590 best solution, best possible 560 (7073.54 seconds)
Cbc0010I After 176895 nodes, 21437 on tree, 1590 best solution, best possible 560 (7074.26 seconds)
Cbc0010I After 176926 nodes, 21435 on tree, 1590 best solution, best possible 560 (7074.98 seconds)
Cbc0010I After 176958 nodes, 21440 on tree, 1590 best solution, best possible 560 (7075.68 seconds)
Cbc0010I After 176989 nodes, 21439 on tree, 1590 best solution, best possible 560 (7076.41 seconds)
Cbc0010I After 177021 nodes, 21437 on tree, 1590 best solution, best possible 560 (7077.12 seconds)
Cbc0010I After 177055 nodes, 21440 on tree, 1590 best solution, best possible 560 (7077.83 seconds)
Cbc0010I After 177090 nodes, 21438 on tree, 1590 best solution, best possible 560 (7078.54 seconds)
Cbc0010I After 177125 nodes, 21437 on tree, 1590 best solution, best possible 560 (7079.27 seconds)
Cbc0010I After 177158 nodes, 21436 on tree, 1590 best solution, best possible 560 (7080.00 seconds)
Cbc0010I After 177194 nodes, 21445 on tree, 1590 best solution, best possible 560 (7080.72 seconds)
Cbc0010I After 177222 nodes, 21445 on tree, 1590 best solution, best possible 560 (7081.44 seconds)
Cbc0010I After 177251 nodes, 21442 on tree, 1590 best solution, best possible 560 (7082.15 seconds)
Cbc0010I After 177291 nodes, 21437 on tree, 1590 best solution, best possible 560 (7082.86 seconds)
Cbc0010I After 177319 nodes, 21444 on tree, 1590 best solution, best possible 560 (7083.57 seconds)
Cbc0010I After 177346 nodes, 21440 on tree, 1590 best solution, best possible 560 (7084.28 seconds)
Cbc0010I After 177384 nodes, 21441 on tree, 1590 best solution, best possible 560 (7085.00 seconds)
Cbc0010I After 177423 nodes, 21440 on tree, 1590 best solution, best possible 560 (7085.71 seconds)
Cbc0010I After 177456 nodes, 21438 on tree, 1590 best solution, best possible 560 (7086.42 seconds)
Cbc0010I After 177490 nodes, 21440 on tree, 1590 best solution, best possible 560 (7087.14 seconds)
Cbc0010I After 177521 nodes, 21439 on tree, 1590 best solution, best possible 560 (7087.86 seconds)
Cbc0010I After 177555 nodes, 21437 on tree, 1590 best solution, best possible 560 (7088.57 seconds)
Cbc0010I After 177587 nodes, 21442 on tree, 1590 best solution, best possible 560 (7089.27 seconds)
Cbc0010I After 177620 nodes, 21439 on tree, 1590 best solution, best possible 560 (7089.98 seconds)
Cbc0010I After 177653 nodes, 21445 on tree, 1590 best solution, best possible 560 (7090.69 seconds)
Cbc0010I After 177687 nodes, 21435 on tree, 1590 best solution, best possible 560 (7091.40 seconds)
Cbc0010I After 177719 nodes, 21441 on tree, 1590 best solution, best possible 560 (7092.10 seconds)
Cbc0010I After 177754 nodes, 21440 on tree, 1590 best solution, best possible 560 (7092.81 seconds)
Cbc0010I After 177788 nodes, 21439 on tree, 1590 best solution, best possible 560 (7093.52 seconds)
Cbc0010I After 177823 nodes, 21440 on tree, 1590 best solution, best possible 560 (7094.24 seconds)
Cbc0010I After 177862 nodes, 21436 on tree, 1590 best solution, best possible 560 (7094.95 seconds)
Cbc0010I After 177898 nodes, 21438 on tree, 1590 best solution, best possible 560 (7095.67 seconds)
Cbc0010I After 177930 nodes, 21434 on tree, 1590 best solution, best possible 560 (7096.39 seconds)
Cbc0010I After 177959 nodes, 21434 on tree, 1590 best solution, best possible 560 (7097.10 seconds)
Cbc0010I After 177985 nodes, 21433 on tree, 1590 best solution, best possible 560 (7097.82 seconds)
Cbc0010I After 178013 nodes, 21435 on tree, 1590 best solution, best possible 560 (7098.55 seconds)
Cbc0010I After 178040 nodes, 21439 on tree, 1590 best solution, best possible 560 (7099.26 seconds)
Cbc0010I After 178069 nodes, 21436 on tree, 1590 best solution, best possible 560 (7099.97 seconds)
Cbc0010I After 178099 nodes, 21437 on tree, 1590 best solution, best possible 560 (7100.69 seconds)
Cbc0010I After 178131 nodes, 21434 on tree, 1590 best solution, best possible 560 (7101.39 seconds)
Cbc0010I After 178157 nodes, 21426 on tree, 1590 best solution, best possible 560 (7102.10 seconds)
Cbc0010I After 178188 nodes, 21432 on tree, 1590 best solution, best possible 560 (7102.81 seconds)
Cbc0010I After 178221 nodes, 21429 on tree, 1590 best solution, best possible 560 (7103.52 seconds)
Cbc0010I After 178251 nodes, 21428 on tree, 1590 best solution, best possible 560 (7104.23 seconds)
Cbc0010I After 178279 nodes, 21428 on tree, 1590 best solution, best possible 560 (7104.93 seconds)
Cbc0010I After 178309 nodes, 21433 on tree, 1590 best solution, best possible 560 (7105.64 seconds)
Cbc0010I After 178341 nodes, 21430 on tree, 1590 best solution, best possible 560 (7106.36 seconds)
Cbc0010I After 178371 nodes, 21430 on tree, 1590 best solution, best possible 560 (7107.06 seconds)
Cbc0010I After 178400 nodes, 21423 on tree, 1590 best solution, best possible 560 (7107.78 seconds)
Cbc0010I After 178426 nodes, 21426 on tree, 1590 best solution, best possible 560 (7108.48 seconds)
Cbc0010I After 178450 nodes, 21430 on tree, 1590 best solution, best possible 560 (7109.20 seconds)
Cbc0010I After 178477 nodes, 21424 on tree, 1590 best solution, best possible 560 (7109.91 seconds)
Cbc0010I After 178502 nodes, 21425 on tree, 1590 best solution, best possible 560 (7110.61 seconds)
Cbc0010I After 178529 nodes, 21431 on tree, 1590 best solution, best possible 560 (7111.33 seconds)
Cbc0010I After 178555 nodes, 21422 on tree, 1590 best solution, best possible 560 (7112.05 seconds)
Cbc0010I After 178575 nodes, 21425 on tree, 1590 best solution, best possible 560 (7112.77 seconds)
Cbc0010I After 178603 nodes, 21426 on tree, 1590 best solution, best possible 560 (7113.48 seconds)
Cbc0010I After 178644 nodes, 21424 on tree, 1590 best solution, best possible 560 (7114.20 seconds)
Cbc0010I After 178678 nodes, 21424 on tree, 1590 best solution, best possible 560 (7114.91 seconds)
Cbc0010I After 178705 nodes, 21429 on tree, 1590 best solution, best possible 560 (7115.63 seconds)
Cbc0010I After 178734 nodes, 21435 on tree, 1590 best solution, best possible 560 (7116.34 seconds)
Cbc0010I After 178762 nodes, 21440 on tree, 1590 best solution, best possible 560 (7117.06 seconds)
Cbc0010I After 178794 nodes, 21438 on tree, 1590 best solution, best possible 560 (7117.78 seconds)
Cbc0010I After 178827 nodes, 21434 on tree, 1590 best solution, best possible 560 (7118.49 seconds)
Cbc0010I After 178853 nodes, 21439 on tree, 1590 best solution, best possible 560 (7119.20 seconds)
Cbc0010I After 178882 nodes, 21438 on tree, 1590 best solution, best possible 560 (7119.91 seconds)
Cbc0010I After 178913 nodes, 21437 on tree, 1590 best solution, best possible 560 (7120.61 seconds)
Cbc0010I After 178941 nodes, 21438 on tree, 1590 best solution, best possible 560 (7121.32 seconds)
Cbc0010I After 178969 nodes, 21441 on tree, 1590 best solution, best possible 560 (7122.04 seconds)
Cbc0010I After 179002 nodes, 21437 on tree, 1590 best solution, best possible 560 (7122.75 seconds)
Cbc0010I After 179033 nodes, 21434 on tree, 1590 best solution, best possible 560 (7123.45 seconds)
Cbc0010I After 179068 nodes, 21433 on tree, 1590 best solution, best possible 560 (7124.16 seconds)
Cbc0010I After 179096 nodes, 21440 on tree, 1590 best solution, best possible 560 (7124.87 seconds)
Cbc0010I After 179129 nodes, 21437 on tree, 1590 best solution, best possible 560 (7125.61 seconds)
Cbc0010I After 179162 nodes, 21433 on tree, 1590 best solution, best possible 560 (7126.32 seconds)
Cbc0010I After 179189 nodes, 21437 on tree, 1590 best solution, best possible 560 (7127.02 seconds)
Cbc0010I After 179219 nodes, 21436 on tree, 1590 best solution, best possible 560 (7127.73 seconds)
Cbc0010I After 179251 nodes, 21437 on tree, 1590 best solution, best possible 560 (7128.44 seconds)
Cbc0010I After 179279 nodes, 21435 on tree, 1590 best solution, best possible 560 (7129.15 seconds)
Cbc0010I After 179308 nodes, 21440 on tree, 1590 best solution, best possible 560 (7129.86 seconds)
Cbc0010I After 179342 nodes, 21434 on tree, 1590 best solution, best possible 560 (7130.57 seconds)
Cbc0010I After 179376 nodes, 21438 on tree, 1590 best solution, best possible 560 (7131.27 seconds)
Cbc0010I After 179406 nodes, 21431 on tree, 1590 best solution, best possible 560 (7131.97 seconds)
Cbc0010I After 179436 nodes, 21438 on tree, 1590 best solution, best possible 560 (7132.68 seconds)
Cbc0010I After 179465 nodes, 21437 on tree, 1590 best solution, best possible 560 (7133.40 seconds)
Cbc0010I After 179496 nodes, 21441 on tree, 1590 best solution, best possible 560 (7134.11 seconds)
Cbc0010I After 179522 nodes, 21439 on tree, 1590 best solution, best possible 560 (7134.82 seconds)
Cbc0010I After 179550 nodes, 21442 on tree, 1590 best solution, best possible 560 (7135.52 seconds)
Cbc0010I After 179577 nodes, 21438 on tree, 1590 best solution, best possible 560 (7136.23 seconds)
Cbc0010I After 179607 nodes, 21442 on tree, 1590 best solution, best possible 560 (7136.95 seconds)
Cbc0010I After 179634 nodes, 21441 on tree, 1590 best solution, best possible 560 (7137.66 seconds)
Cbc0010I After 179665 nodes, 21439 on tree, 1590 best solution, best possible 560 (7138.39 seconds)
Cbc0010I After 179691 nodes, 21439 on tree, 1590 best solution, best possible 560 (7139.12 seconds)
Cbc0010I After 179719 nodes, 21438 on tree, 1590 best solution, best possible 560 (7139.82 seconds)
Cbc0010I After 179744 nodes, 21440 on tree, 1590 best solution, best possible 560 (7140.52 seconds)
Cbc0010I After 179776 nodes, 21437 on tree, 1590 best solution, best possible 560 (7141.26 seconds)
Cbc0010I After 179804 nodes, 21438 on tree, 1590 best solution, best possible 560 (7141.98 seconds)
Cbc0010I After 179833 nodes, 21436 on tree, 1590 best solution, best possible 560 (7142.69 seconds)
Cbc0010I After 179862 nodes, 21440 on tree, 1590 best solution, best possible 560 (7143.41 seconds)
Cbc0010I After 179887 nodes, 21439 on tree, 1590 best solution, best possible 560 (7144.12 seconds)
Cbc0010I After 179917 nodes, 21435 on tree, 1590 best solution, best possible 560 (7144.83 seconds)
Cbc0010I After 179949 nodes, 21435 on tree, 1590 best solution, best possible 560 (7145.57 seconds)
Cbc0010I After 179981 nodes, 21432 on tree, 1590 best solution, best possible 560 (7146.27 seconds)
Cbc0010I After 180009 nodes, 21443 on tree, 1590 best solution, best possible 560 (7146.99 seconds)
Cbc0010I After 180042 nodes, 21440 on tree, 1590 best solution, best possible 560 (7147.72 seconds)
Cbc0010I After 180077 nodes, 21443 on tree, 1590 best solution, best possible 560 (7148.44 seconds)
Cbc0010I After 180106 nodes, 21442 on tree, 1590 best solution, best possible 560 (7149.14 seconds)
Cbc0010I After 180135 nodes, 21441 on tree, 1590 best solution, best possible 560 (7149.85 seconds)
Cbc0010I After 180163 nodes, 21439 on tree, 1590 best solution, best possible 560 (7150.56 seconds)
Cbc0010I After 180191 nodes, 21437 on tree, 1590 best solution, best possible 560 (7151.27 seconds)
Cbc0010I After 180217 nodes, 21439 on tree, 1590 best solution, best possible 560 (7151.98 seconds)
Cbc0010I After 180243 nodes, 21437 on tree, 1590 best solution, best possible 560 (7152.70 seconds)
Cbc0010I After 180269 nodes, 21439 on tree, 1590 best solution, best possible 560 (7153.41 seconds)
Cbc0010I After 180294 nodes, 21435 on tree, 1590 best solution, best possible 560 (7154.13 seconds)
Cbc0010I After 180323 nodes, 21445 on tree, 1590 best solution, best possible 560 (7154.84 seconds)
Cbc0010I After 180350 nodes, 21445 on tree, 1590 best solution, best possible 560 (7155.55 seconds)
Cbc0010I After 180379 nodes, 21445 on tree, 1590 best solution, best possible 560 (7156.26 seconds)
Cbc0010I After 180406 nodes, 21444 on tree, 1590 best solution, best possible 560 (7156.98 seconds)
Cbc0010I After 180437 nodes, 21439 on tree, 1590 best solution, best possible 560 (7157.71 seconds)
Cbc0010I After 180465 nodes, 21445 on tree, 1590 best solution, best possible 560 (7158.43 seconds)
Cbc0010I After 180498 nodes, 21445 on tree, 1590 best solution, best possible 560 (7159.14 seconds)
Cbc0010I After 180528 nodes, 21441 on tree, 1590 best solution, best possible 560 (7159.85 seconds)
Cbc0010I After 180556 nodes, 21438 on tree, 1590 best solution, best possible 560 (7160.55 seconds)
Cbc0010I After 180585 nodes, 21446 on tree, 1590 best solution, best possible 560 (7161.27 seconds)
Cbc0010I After 180611 nodes, 21445 on tree, 1590 best solution, best possible 560 (7161.97 seconds)
Cbc0010I After 180644 nodes, 21446 on tree, 1590 best solution, best possible 560 (7162.70 seconds)
Cbc0010I After 180673 nodes, 21444 on tree, 1590 best solution, best possible 560 (7163.42 seconds)
Cbc0010I After 180701 nodes, 21439 on tree, 1590 best solution, best possible 560 (7164.15 seconds)
Cbc0010I After 180731 nodes, 21438 on tree, 1590 best solution, best possible 560 (7164.86 seconds)
Cbc0010I After 180763 nodes, 21445 on tree, 1590 best solution, best possible 560 (7165.57 seconds)
Cbc0010I After 180801 nodes, 21438 on tree, 1590 best solution, best possible 560 (7166.28 seconds)
Cbc0010I After 180829 nodes, 21435 on tree, 1590 best solution, best possible 560 (7166.99 seconds)
Cbc0010I After 180863 nodes, 21438 on tree, 1590 best solution, best possible 560 (7167.71 seconds)
Cbc0010I After 180894 nodes, 21442 on tree, 1590 best solution, best possible 560 (7168.44 seconds)
Cbc0010I After 180924 nodes, 21440 on tree, 1590 best solution, best possible 560 (7169.14 seconds)
Cbc0010I After 180959 nodes, 21442 on tree, 1590 best solution, best possible 560 (7169.86 seconds)
Cbc0010I After 180990 nodes, 21440 on tree, 1590 best solution, best possible 560 (7170.57 seconds)
Cbc0010I After 181025 nodes, 21441 on tree, 1590 best solution, best possible 560 (7171.29 seconds)
Cbc0010I After 181055 nodes, 21439 on tree, 1590 best solution, best possible 560 (7172.00 seconds)
Cbc0010I After 181090 nodes, 21441 on tree, 1590 best solution, best possible 560 (7172.71 seconds)
Cbc0010I After 181129 nodes, 21440 on tree, 1590 best solution, best possible 560 (7173.43 seconds)
Cbc0010I After 181170 nodes, 21437 on tree, 1590 best solution, best possible 560 (7174.14 seconds)
Cbc0010I After 181207 nodes, 21438 on tree, 1590 best solution, best possible 560 (7174.84 seconds)
Cbc0010I After 181245 nodes, 21438 on tree, 1590 best solution, best possible 560 (7175.56 seconds)
Cbc0010I After 181281 nodes, 21440 on tree, 1590 best solution, best possible 560 (7176.26 seconds)
Cbc0010I After 181317 nodes, 21436 on tree, 1590 best solution, best possible 560 (7176.97 seconds)
Cbc0010I After 181356 nodes, 21435 on tree, 1590 best solution, best possible 560 (7177.72 seconds)
Cbc0010I After 181392 nodes, 21434 on tree, 1590 best solution, best possible 560 (7178.45 seconds)
Cbc0010I After 181424 nodes, 21436 on tree, 1590 best solution, best possible 560 (7179.16 seconds)
Cbc0010I After 181463 nodes, 21441 on tree, 1590 best solution, best possible 560 (7179.86 seconds)
Cbc0010I After 181506 nodes, 21437 on tree, 1590 best solution, best possible 560 (7180.56 seconds)
Cbc0010I After 181545 nodes, 21441 on tree, 1590 best solution, best possible 560 (7181.27 seconds)
Cbc0010I After 181581 nodes, 21441 on tree, 1590 best solution, best possible 560 (7181.98 seconds)
Cbc0010I After 181624 nodes, 21438 on tree, 1590 best solution, best possible 560 (7182.70 seconds)
Cbc0010I After 181664 nodes, 21439 on tree, 1590 best solution, best possible 560 (7183.42 seconds)
Cbc0010I After 181703 nodes, 21441 on tree, 1590 best solution, best possible 560 (7184.13 seconds)
Cbc0010I After 181741 nodes, 21441 on tree, 1590 best solution, best possible 560 (7184.85 seconds)
Cbc0010I After 181785 nodes, 21436 on tree, 1590 best solution, best possible 560 (7185.57 seconds)
Cbc0010I After 181813 nodes, 21438 on tree, 1590 best solution, best possible 560 (7186.29 seconds)
Cbc0010I After 181854 nodes, 21441 on tree, 1590 best solution, best possible 560 (7186.99 seconds)
Cbc0010I After 181888 nodes, 21435 on tree, 1590 best solution, best possible 560 (7187.73 seconds)
Cbc0010I After 181924 nodes, 21441 on tree, 1590 best solution, best possible 560 (7188.44 seconds)
Cbc0010I After 181963 nodes, 21435 on tree, 1590 best solution, best possible 560 (7189.14 seconds)
Cbc0010I After 181994 nodes, 21444 on tree, 1590 best solution, best possible 560 (7189.87 seconds)
Cbc0010I After 182031 nodes, 21442 on tree, 1590 best solution, best possible 560 (7190.58 seconds)
Cbc0010I After 182063 nodes, 21441 on tree, 1590 best solution, best possible 560 (7191.28 seconds)
Cbc0010I After 182094 nodes, 21445 on tree, 1590 best solution, best possible 560 (7191.98 seconds)
Cbc0010I After 182135 nodes, 21442 on tree, 1590 best solution, best possible 560 (7192.68 seconds)
Cbc0010I After 182168 nodes, 21444 on tree, 1590 best solution, best possible 560 (7193.40 seconds)
Cbc0010I After 182207 nodes, 21440 on tree, 1590 best solution, best possible 560 (7194.11 seconds)
Cbc0010I After 182241 nodes, 21445 on tree, 1590 best solution, best possible 560 (7194.83 seconds)
Cbc0010I After 182274 nodes, 21441 on tree, 1590 best solution, best possible 560 (7195.55 seconds)
Cbc0010I After 182307 nodes, 21442 on tree, 1590 best solution, best possible 560 (7196.25 seconds)
Cbc0010I After 182341 nodes, 21445 on tree, 1590 best solution, best possible 560 (7196.98 seconds)
Cbc0010I After 182378 nodes, 21442 on tree, 1590 best solution, best possible 560 (7197.70 seconds)
Cbc0010I After 182415 nodes, 21438 on tree, 1590 best solution, best possible 560 (7198.41 seconds)
Cbc0010I After 182451 nodes, 21440 on tree, 1590 best solution, best possible 560 (7199.13 seconds)
Cbc0010I After 182482 nodes, 21444 on tree, 1590 best solution, best possible 560 (7199.85 seconds)
Cbc0010I After 182517 nodes, 21446 on tree, 1590 best solution, best possible 560 (7200.59 seconds)
Cbc0010I After 182551 nodes, 21449 on tree, 1590 best solution, best possible 560 (7201.31 seconds)
Cbc0010I After 182586 nodes, 21449 on tree, 1590 best solution, best possible 560 (7202.01 seconds)
Cbc0010I After 182617 nodes, 21446 on tree, 1590 best solution, best possible 560 (7202.73 seconds)
Cbc0010I After 182654 nodes, 21448 on tree, 1590 best solution, best possible 560 (7203.43 seconds)
Cbc0010I After 182688 nodes, 21449 on tree, 1590 best solution, best possible 560 (7204.14 seconds)
Cbc0010I After 182722 nodes, 21446 on tree, 1590 best solution, best possible 560 (7204.86 seconds)
Cbc0010I After 182757 nodes, 21446 on tree, 1590 best solution, best possible 560 (7205.57 seconds)
Cbc0010I After 182791 nodes, 21443 on tree, 1590 best solution, best possible 560 (7206.29 seconds)
Cbc0010I After 182824 nodes, 21438 on tree, 1590 best solution, best possible 560 (7207.02 seconds)
Cbc0010I After 182859 nodes, 21443 on tree, 1590 best solution, best possible 560 (7207.73 seconds)
Cbc0010I After 182895 nodes, 21439 on tree, 1590 best solution, best possible 560 (7208.44 seconds)
Cbc0010I After 182924 nodes, 21442 on tree, 1590 best solution, best possible 560 (7209.15 seconds)
Cbc0010I After 182959 nodes, 21441 on tree, 1590 best solution, best possible 560 (7209.87 seconds)
Cbc0010I After 182989 nodes, 21442 on tree, 1590 best solution, best possible 560 (7210.60 seconds)
Cbc0010I After 183033 nodes, 21439 on tree, 1590 best solution, best possible 560 (7211.31 seconds)
Cbc0010I After 183065 nodes, 21441 on tree, 1590 best solution, best possible 560 (7212.03 seconds)
Cbc0010I After 183099 nodes, 21436 on tree, 1590 best solution, best possible 560 (7212.74 seconds)
Cbc0010I After 183134 nodes, 21444 on tree, 1590 best solution, best possible 560 (7213.46 seconds)
Cbc0010I After 183169 nodes, 21445 on tree, 1590 best solution, best possible 560 (7214.18 seconds)
Cbc0010I After 183198 nodes, 21443 on tree, 1590 best solution, best possible 560 (7214.90 seconds)
Cbc0010I After 183230 nodes, 21441 on tree, 1590 best solution, best possible 560 (7215.60 seconds)
Cbc0010I After 183268 nodes, 21439 on tree, 1590 best solution, best possible 560 (7216.31 seconds)
Cbc0010I After 183299 nodes, 21442 on tree, 1590 best solution, best possible 560 (7217.01 seconds)
